algorithm,nodes,n,size,total_time,comm_time,comp_time
mpi_p2p_nb,3,1024,120,0.708028,0.658785,0.049241
mpi_p2p_nb,3,1024,120,0.657992,0.594727,0.063263
mpi_p2p_nb,3,1024,120,0.772123,0.704119,0.068002
mpi_p2p_nb,3,1024,120,0.831581,0.779159,0.052419
mpi_p2p_nb,3,1024,120,0.785740,0.711963,0.073775
mpi_p2p_nb,3,2048,120,2.832102,1.349312,1.482774
mpi_p2p_nb,3,2048,120,3.600304,2.003402,1.596887
mpi_p2p_nb,3,2048,120,3.053267,1.431793,1.621459
mpi_p2p_nb,3,2048,120,2.661045,1.116918,1.544113
mpi_p2p_nb,3,2048,120,2.932746,1.502051,1.430690
mpi_p2p_nb,3,4096,120,18.884121,1.972436,16.911681
mpi_p2p_nb,3,4096,120,28.348931,14.015110,14.333808
mpi_p2p_nb,3,4096,120,18.896300,2.011052,16.885244
mpi_p2p_nb,3,4096,120,19.418223,3.437420,15.980790
mpi_p2p_nb,3,4096,120,17.744642,0.725292,17.019347
mpi_p2p_nb,4,512,160,0.992523,0.988706,0.003816
mpi_p2p_nb,4,512,160,1.025652,1.020925,0.004725
mpi_p2p_nb,4,512,160,0.713318,0.710524,0.002793
mpi_p2p_nb,4,512,160,1.007894,1.003962,0.003931
mpi_p2p_nb,4,512,160,0.776738,0.771458,0.005278
mpi_p2p_nb,4,1024,160,0.951864,0.908714,0.043147
mpi_p2p_nb,4,1024,160,1.054362,1.027508,0.026852
mpi_p2p_nb,4,1024,160,1.155743,1.130234,0.025507
mpi_p2p_nb,4,1024,160,1.066291,1.031986,0.034304
mpi_p2p_nb,4,1024,160,1.009300,0.965953,0.043345
mpi_p2p_nb,4,2048,160,2.677460,1.679651,0.997804
mpi_p2p_nb,4,2048,160,2.558473,1.459942,1.098518
mpi_p2p_nb,4,2048,160,2.544330,1.578776,0.965539
mpi_p2p_nb,4,2048,160,2.613056,1.600167,1.012874
mpi_p2p_nb,4,2048,160,2.524620,1.402728,1.121886
mpi_p2p_nb,4,4096,160,14.962568,4.692097,10.270465
mpi_p2p_nb,4,4096,160,15.238154,4.338097,10.900052
mpi_p2p_nb,4,4096,160,14.927994,3.721534,11.206445
mpi_p2p_nb,4,4096,160,15.470905,4.370486,11.100405
mpi_p2p_nb,4,4096,160,14.307719,3.899797,10.407917
